Primitive;Primitive.code;Primitive.r0;Primitive.g0;Primitive.b0;Primitive.r1;Primitive.g1;Primitive.b1;Primitive.r2;Primitive.g2;Primitive.b2;Primitive.r3;Primitive.g3;Primitive.b3;Primitive.u0;Primitive.v0;Primitive.u1;Primitive.v1;Primitive.u2;Primitive.v2;Primitive.u3;Primitive.v3;Primitive.clut;Primitive.tpage
PmdView.Psx.Primitive;PolyG3;255;255;227;255;255;227;255;255;227;0;0;0;0;0;0;0;0;0;0;0;0;0
PmdView.Psx.Primitive;PolyG3;255;255;227;255;255;227;255;255;227;0;0;0;0;0;0;0;0;0;0;0;0;0
